DEPARTURES_PERFORMED,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,DATA_SOURCE,FUEL_CONSUMPTION
29,4502,15657,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12173,HNL,"Honolulu, HI",687,6,DU,12566
29,4614,14008,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11760,FRA,"Frankfurt, Germany",696,1,IU,12324
29,4614,14377,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11760,FRA,"Frankfurt, Germany",696,7,IU,12324
29,4653,15645,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11988,GRU,"Sao Paulo, Brazil",687,10,IU,12566
29,4653,15833,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11988,GRU,"Sao Paulo, Brazil",626,6,IU,11023
29,4694,14841,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14717,SCL,"Santiago, Chile",359,9,IU,12787
29,4750,15251,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13625,NCE,"Nice, France",624,6,IU,11684
29,4797,14646,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13518,MUC,"Munich, Germany",626,12,IU,11023
29,4797,15276,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13518,MUC,"Munich, Germany",624,6,IU,11684
29,4999,16193,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11625,EZE,"Ezeiza, Argentina",624,9,IU,11684
29,4999,16234,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11625,EZE,"Ezeiza, Argentina",624,10,IU,11684
29,4999,16458,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11625,EZE,"Ezeiza, Argentina",624,6,IU,11684
29,5844,18093,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13043,LOS,"Lagos, Nigeria",696,4,IU,12324
29,5844,19299,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13043,LOS,"Lagos, Nigeria",696,9,IU,12324
29,6437,19260,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15258,TLV,"Tel Aviv, Israel",359,9,IU,12787
29,6882,23037,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12169,HND,"Tokyo, Japan",359,6,IU,12787
29,6882,23921,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12169,HND,"Tokyo, Japan",359,4,IU,12787
29,6882,24970,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12169,HND,"Tokyo, Japan",359,11,IU,12787
29,8433,25559,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12520,JNB,"Johannesburg, South Africa",359,6,IU,12787
29,8433,25903,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12520,JNB,"Johannesburg, South Africa",359,9,IU,12787
30,151,971,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12217,HSV,"Huntsville, AL",888,9,DU,5732
30,152,914,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",608,12,DU,4850
30,153,938,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11996,GSP,"Greer, SC",888,1,DU,5732
30,214,1181,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14685,SAV,"Savannah, GA",608,1,DU,4850
30,223,1193,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15249,TLH,"Tallahassee, FL",614,2,DU,5578
30,227,1178,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15323,TRI,"Bristol/Johnson City/Kingsport, TN",608,11,DU,4850
30,250,1240,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15624,VPS,"Valparaiso, FL",614,9,DU,5578
30,259,1275,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10994,CHS,"Charleston, SC",888,2,DU,5732
30,302,1467,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13422,MOB,"Mobile, AL",614,6,DU,5578
30,302,1481,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13422,MOB,"Mobile, AL",614,9,DU,5578
30,302,1537,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13422,MOB,"Mobile, AL",614,11,DU,5578
30,317,1407,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13577,MYR,"Myrtle Beach, SC",888,12,DU,5732
30,317,1476,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13577,MYR,"Myrtle Beach, SC",608,8,DU,4850
30,332,1695,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13244,MEM,"Memphis, TN",608,12,DU,4850
30,352,1742,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11973,GPT,"Gulfport/Biloxi, MS",614,11,DU,5578
30,366,1653,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11252,DAB,"Daytona Beach, FL",888,1,DU,5732
30,399,1670,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13795,OAJ,"Jacksonville/Camp Lejeune, NC",608,10,DU,4850
30,399,1694,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13795,OAJ,"Jacksonville/Camp Lejeune, NC",608,11,DU,4850
30,442,1928,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13360,MLB,"Melbourne, FL",698,8,DU,5234
30,457,1883,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10990,CHO,"Charlottesville, VA",608,11,DU,4850
30,457,1908,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10990,CHO,"Charlottesville, VA",608,9,DU,4850
30,457,1913,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10990,CHO,"Charlottesville, VA",608,4,DU,4850
30,457,2002,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10990,CHO,"Charlottesville, VA",608,6,DU,4850
30,481,2057,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14524,RIC,"Richmond, VA",608,12,DU,4850
30,484,2249,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15016,STL,"St. Louis, MO",694,8,DU,5291
30,581,2482,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11697,FLL,"Fort Lauderdale, FL",623,11,DU,8598
30,666,2613,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14100,PHL,"Philadelphia, PA",614,1,DU,5578
30,694,2868,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11003,CID,"Cedar Rapids/Iowa City, IA",614,5,DU,5578
30,694,2902,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11003,CID,"Cedar Rapids/Iowa City, IA",614,8,DU,5578
30,694,2920,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11003,CID,"Cedar Rapids/Iowa City, IA",614,6,DU,5578
30,694,2960,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11003,CID,"Cedar Rapids/Iowa City, IA",698,11,DU,5234
30,712,2825,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10792,BUF,"Buffalo, NY",694,12,DU,5291
30,760,3024,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12478,JFK,"New York, NY",699,10,DU,6336
30,760,3193,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12478,JFK,"New York, NY",721,7,DU,5732
30,765,3084,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10408,ATW,"Appleton, WI",608,9,DU,4850
30,765,3158,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10408,ATW,"Appleton, WI",608,4,DU,4850
30,765,3177,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10408,ATW,"Appleton, WI",608,8,DU,4850
30,765,3196,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10408,ATW,"Appleton, WI",608,6,DU,4850
30,774,3173,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11977,GRB,"Green Bay, WI",614,8,DU,5578
30,782,3251,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12278,ICT,"Wichita, KS",614,6,DU,5578
30,782,3401,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12278,ICT,"Wichita, KS",614,11,DU,5578
30,782,3442,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12278,ICT,"Wichita, KS",614,12,DU,5578
30,853,3284,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10257,ALB,"Albany, NY",699,9,DU,6336
30,880,3640,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11032,CUN,"Cancun, Mexico",888,2,IU,5732
30,954,3807,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11775,FSD,"Sioux Falls, SD",694,9,DU,5291
30,961,3631,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10785,BTV,"Burlington, VT",608,4,DU,4850
30,961,3643,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10785,BTV,"Burlington, VT",608,11,DU,4850
30,961,3682,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10785,BTV,"Burlington, VT",608,9,DU,4850
30,1027,3879,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14321,PWM,"Portland, ME",888,5,DU,5732
30,1085,4173,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13514,MTY,"Monterrey, Mexico",694,8,IU,5291
30,1085,4519,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13514,MTY,"Monterrey, Mexico",698,5,IU,5234
30,1085,4646,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13514,MTY,"Monterrey, Mexico",614,11,IU,5578
30,1104,4159,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14153,PLS,"Providenciales, Turks and Caicos Islands",614,4,IU,5578
30,1104,4169,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14153,PLS,"Providenciales, Turks and Caicos Islands",614,10,IU,5578
30,1117,4215,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13180,MBJ,"Montego Bay, Jamaica",622,12,IU,7319
